SecurityCode,companyName,marketCapFull
539947,Jindal Leasefin Ltd,11.58
539206,Genomic Valley Biotech Ltd,11.59
511728,K.Z.LEASING & FINANCE LTD.,11.6
541973,Mac Hotels Ltd,11.66
531671,Bisil Plast Limited,11.67
521014,EUROTEX INDUSTRIES & EXPORTS LTD.,11.71
511187,Millennium Online Solutions ( India ) Ltd,11.75
540359,Parmax Pharma Ltd,11.77
511401,Munoth Communication Ltd,11.77
531968,IITL PROJECTS LIMITED,11.81
501477,MULLER & PHIPPS (INDIA) LTD.,11.88
532911,Parle Industries Ltd,11.94
531506,SHUKRA BULLIONS LTD.,12.04
511563,SANCHAY FINVEST LTD.,12.1
530251,RISA INTERNATIONAL LTD.,12.12
538875,Sellwin Traders Ltd,12.15
531582,BERYL SECURITIES LTD.,12.2
538707,Rajasthan Cylinders & Containers Ltd,12.21
504340,Confidence Finance And Trading Limited,12.22
539043,BKM Industries Ltd,12.25
531991,AMRAWORLD AGRICO LTD.,12.27
533268,SEA TV NETWORK LTD.,12.33
514128,KONARK SYNTHETIC LTD.,12.34
539584,Sharanam Infraproject and Trading Ltd,12.36
531158,Catvision Limited,12.38
544002,Vivaa Tradecom Ltd,12.4
517411,SHYAM TELECOM LTD.,12.4
530799,ANNA INFRASTRUCTURES LTD.,12.44
539669,RGF Capital Markets Ltd,12.45
537709,Shree Hanuman Sugar & Industries Ltd,12.45
532056,ADINATH EXIM RESOURCES LTD.,12.46
530231,SUBHASH SILK MILLS LTD.,12.49
531190,Tavernier Resources Limi,12.5
531541,Kobo Biotech Ltd-$,12.51
533203,Tarapur Transformers Ltd,12.52
508961,SHRICON INDUSTRIES LTD.,12.53
530709,GOWRA LEASING & FINANCE LTD.,12.57
543927,Asian Warehousing Ltd,12.58
531338,MILESTONE GLOBAL LTD.,12.6
543934,Machhar Industries Ltd,12.61
514140,SURYAVANSHI SPINNING MILLS LTD.-$,12.61
511501,BHARAT BHUSHAN SHARE & COMMODITY BROKERS LTD.,12.68
512443,Ganon Products Ltd,12.74
509845,R.J.SHAH & CO.LTD.,12.78
539521,Navigant Corporate Advisors Ltd,12.79
513528,GLITTEK GRANITES LTD.,12.8
512589,SITA ENTERPRISES LTD.,12.8
531203,Tradewell Holdings Ltd,12.81
500277,MID INDIA INDUSTRIES LTD.,12.86
542627,Chandni Machines Ltd,12.86
531878,ANJANI FINANCE LTD.,12.87
542025,Sun Retail Ltd,12.88
523790,SHUKRA JEWELLERS LTD.,12.89
513488,SHREE STEEL WIRE ROPES LTD.,12.91
531944,Servoteach Industries Ltd,12.93
530439,SIDDHA VENTURES LTD.,12.95
530065,Lords Ishwar Hotels Limited,13.0
511710,CUBICAL FINANCIAL SERVICES LTD.,13.03
530111,RAJ PACKAGING INDUSTRIES LTD.,13.05
530025,SAMYAK INTERNATIONAL LTD.,13.12
531613,Meyer Apparel Ltd,13.12
540809,MRC Agrotech Ltd,13.17
542728,SK International Export Ltd,13.2
540914,SRU Steels Ltd,13.21
530171,DAULAT SECURITIES LTD.,13.27
524514,TULASEE BIO-ETHANOL LTD.,13.32
531091,UNITED CREDIT LTD.,13.37
540072,Shiva Granito Export Ltd,13.41
530787,INLAND PRINTERS LTD.,13.43
531672,INANI SECURITIES LTD.,13.51
519528,NORBEN TEA & EXPORTS LTD.,13.55
536738,Stellar Capital Services Ltd,13.58
531832,NAGARJUNA AGRI TECH LTD.,13.59
534796,CDG Petchem Ltd,13.7
