,scripCode,companyName,currentValue,change,pChange,updatedOn,securityID,group,faceValue,industry,previousClose,previousOpen,dayHigh,dayLow,52weekHigh,52weekLow,weightedAvgPrice,totalTradedValue,totalTradedQuantity,2WeekAvgQuantity,marketCapFull,marketCapFreeFloat
507,500266,MAHARASHTRA SCOOTERS LTD.,7603.60,143.05,1.92,20 Feb 24 | 04:00 PM,MAHSCOOTER,A  / S&P BSE 500,10.00,Financial Services,7460.55,7635.30,7779.95,7555.05,8600.00,4051.10,7693.93,0.68 Cr.,0.01 Lakh,0.00 Lakh,"8,689.83 Cr.","4,084.22 Cr."
508,519600,CCL PRODUCTS (INDIA) LTD.,648.15,7.25,1.13,20 Feb 24 | 04:00 PM,CCL,A  / S&P BSE 500,2.00,Fast Moving Consumer Goods,640.90,640.00,652.50,638.65,750.00,530.00,645.98,0.63 Cr.,0.10 Lakh,0.08 Lakh,"8,622.20 Cr.","4,655.99 Cr."
509,533088,MAHINDRA HOLIDAYS & RESORTS INDIA LTD.,421.45,0.35,0.08,20 Feb 24 | 04:00 PM,MHRIL,A  / S&P BSE 500,10.00,Consumer Services,421.10,423.85,429.30,416.55,469.80,256.40,424.48,0.46 Cr.,0.11 Lakh,0.14 Lakh,"8,510.66 Cr.","2,808.52 Cr."
510,540575,Star Cement Ltd,210.10,-0.10,-0.05,20 Feb 24 | 04:00 PM,STARCEMENT,A  / S&P BSE 500,1.00,Construction Materials,210.20,212.90,213.00,209.40,219.45,104.15,210.58,0.92 Cr.,0.44 Lakh,1.22 Lakh,"8,491.83 Cr.","1,698.37 Cr."
511,543945,Netweb Technologies India Ltd,1539.60,30.25,2.00,20 Feb 24 | 04:00 PM,NETWEB,B  / S&P BSE IPO,2.00,Information Technology,1509.35,1515.10,1584.80,1515.10,1584.80,739.70,1568.28,2.09 Cr.,0.13 Lakh,0.08 Lakh,"8,631.76 Cr.","2,071.62 Cr."
512,543957,Redtape Ltd,607.35,-3.50,-0.57,20 Feb 24 | 04:00 PM,REDTAPE,B  /,2.00,Consumer Durables,610.85,602.20,623.85,593.05,672.00,410.55,606.08,0.93 Cr.,0.15 Lakh,0.11 Lakh,"8,393.69 Cr.","2,350.23 Cr."
513,505509,RESPONSIVE INDUSTRIES LTD.,311.70,-2.85,-0.91,20 Feb 24 | 04:00 PM,RESPONIND,B  / S&P BSE SmallCap,1.00,Consumer Durables,314.55,314.00,318.60,309.00,364.80,104.95,314.01,0.20 Cr.,0.07 Lakh,0.29 Lakh,"8,310.19 Cr.",997.22 Cr.
514,539302,Power Mech Projects Ltd,5190.65,-114.05,-2.15,20 Feb 24 | 04:00 PM,POWERMECH,A  / S&P BSE SmallCap,10.00,Construction,5304.70,5321.90,5410.90,5175.35,5544.00,2006.25,5285.93,0.52 Cr.,0.01 Lakh,0.03 Lakh,"8,205.46 Cr.","3,282.18 Cr."
515,524230,RASHTRIYA CHEMICALS & FERTILIZERS LTD.,149.20,-2.65,-1.75,20 Feb 24 | 04:00 PM,RCF,A  / S&P BSE 500,10.00,Chemicals,151.85,152.25,154.70,148.65,190.00,89.50,151.86,3.66 Cr.,2.41 Lakh,4.29 Lakh,"8,231.19 Cr.","2,057.80 Cr."
516,532638,SHOPPERS STOP LTD.,759.15,-1.45,-0.19,20 Feb 24 | 04:00 PM,SHOPERSTOP,A  / S&P BSE 500,5.00,Consumer Services,760.60,758.60,765.10,754.60,889.75,574.85,760.43,0.22 Cr.,0.03 Lakh,0.07 Lakh,"8,346.82 Cr.","2,837.92 Cr."
517,543965,TVS Supply Chain Solutions Ltd,200.20,10.15,5.34,20 Feb 24 | 04:00 PM,TVSSCS,B  / S&P BSE IPO,1.00,Services,190.05,189.05,205.00,186.70,257.95,178.65,197.63,8.99 Cr.,4.55 Lakh,1.01 Lakh,"8,808.23 Cr.","1,409.32 Cr."
518,500245,KIRLOSKAR FERROUS INDUSTRIES LTD.,605.45,5.40,0.90,20 Feb 24 | 04:00 PM,KIRLFER,A  / S&P BSE SmallCap,5.00,Metals & Mining,600.05,593.00,609.80,593.00,650.00,395.25,603.98,1.85 Cr.,0.31 Lakh,0.41 Lakh,"8,432.21 Cr.","3,541.53 Cr."
