SecurityCode,companyName,Feb16
509488,GRAPHITE INDIA LTD.,11000.62
543720,KFin Technologies Ltd,10870.6
543322,Glenmark Life Sciences Ltd,10845.49
541233,Lemon Tree Hotels Ltd,10837.93
542904,Ujjivan Small Finance Bank Ltd,10831.26
532734,GODAWARI POWER & ISPAT LTD.,10811.03
543398,Latent View Analytics Ltd,10748.19
500128,ELECTROSTEEL CASTINGS LTD.,10708.84
511196,CAN FIN HOMES LTD.,10668.97
500125,E.I.D.-PARRY (INDIA) LTD.,10629.75
540900,Newgen Software Technologies Ltd,10617.62
517506,TTK PRESTIGE LTD.,10590.11
539150,PNC Infratech Ltd,10571.98
532800,TV18 BROADCAST LTD.,10503.88
504882,NATIONAL STANDARD (INDIA) LTD.,10417.1
532939,RELIANCE POWER LTD.,10259.7
533095,BENGAL & ASSAM COMPANY LTD.,10231.08
544046,INOX India Ltd,10207.26
532210,CITY UNION BANK LTD.,10206.01
531335,ZYDUS WELLNESS LTD.-$,10171.28
532670,SHREE RENUKA SUGARS LTD.,10169.92
531500,RAJESH EXPORTS LTD.,10168.75
538962,Minda Corporation Ltd,10162.07
543275,Anupam Rasayan India Ltd,10150.48
543228,Route Mobile Ltd,10095.14
533248,GUJARAT PIPAVAV PORT LTD.,10079.72
543425,C.E. Info Systems Ltd,10033.6
540743,Godrej Agrovet Ltd,9957.48
500670,GUJARAT NARMADA VALLEY FERTILIZERS & CHEMICALS LTD.,9914.82
539807,Infibeam Avenues Ltd,9879.9
523025,SAFARI INDUSTRIES (INDIA) LTD.,9843.8
543417,RateGain Travel Technologies Ltd,9838.77
523405,JM FINANCIAL LTD.-$,9779.84
517146,USHA MARTIN LTD.,9716.69
532443,CERA SANITARYWARE LTD.,9711.1
530019,Jubilant Pharmova Ltd,9657.22
543959,SBFC Finance Ltd,9627.39
543482,Eureka Forbes Ltd,9619.27
500390,RELIANCE INFRASTRUCTURE LTD.,9616.08
542011,Garden Reach Shipbuilders & Engineers Ltd,9610.91
523704,MASTEK LTD.,9579.08
500690,GUJARAT STATE FERTILIZERS & CHEMICALS LTD.,9563.46
544045,DOMS Industries Ltd,9530.63
522205,PRAJ INDUSTRIES LTD.,9425.94
532313,MAHINDRA LIFESPACE DEVELOPERS LTD.,9425.19
543980,Jupiter Life Line Hospitals Ltd,9378.89
542323,KPI Green Energy Ltd,9362.49
534618,Waaree Renewable Technologies Ltd,9225.02
543573,Syrma SGS Technology Ltd,9173.16
542650,Metropolis Healthcare Ltd,9154.24
543276,Craftsman Automation Ltd,9145.81
544057,Happy Forgings Ltd,9132.69
540935,Galaxy Surfactants Ltd,9083.68
524558,NEULAND LABORATORIES LTD.,9057.65
543657,Archean Chemical Industries Ltd,8858.05
543272,Easy Trip Planners Ltd,8784.01
543413,Tega Industries Ltd,8735.67
532652,KARNATAKA BANK LTD.,8719.3
543397,Sapphire Foods India Ltd,8662.71
500338,Prism Johnson Ltd,8657.73
542141,Techno Electric & Engineering Company Ltd,8626.75
543427,Medplus Health Services Ltd,8530.16
500266,MAHARASHTRA SCOOTERS LTD.,8526.34
519600,CCL PRODUCTS (INDIA) LTD.,8525.76
533088,MAHINDRA HOLIDAYS & RESORTS INDIA LTD.,8503.59
540575,Star Cement Ltd,8495.87
543945,Netweb Technologies India Ltd,8462.17
543957,Redtape Ltd,8442.06
505509,RESPONSIVE INDUSTRIES LTD.,8395.74
539302,Power Mech Projects Ltd,8385.75
524230,RASHTRIYA CHEMICALS & FERTILIZERS LTD.,8377.38
532638,SHOPPERS STOP LTD.,8362.76
543965,TVS Supply Chain Solutions Ltd,8361.66
500245,KIRLOSKAR FERROUS INDUSTRIES LTD.,8357
524226,GUJARAT AMBUJA EXPORTS LTD.,8356.98
533169,MAN INFRACONSTRUCTION LTD.,8356.85
500126,Procter & Gamble Health Ltd,8351.56
543669,Keystone Realtors Ltd,8283.66
500133,ESAB INDIA LTD.,8198.32
532468,Kama Holdings Limited-$,8175.56
513023,Nava Ltd,8109.8
539978,Quess Corp Ltd,8028.22
500413,THOMAS COOK (INDIA) LTD.,8019.99
543626,Electronics Mart India Ltd,8012.39
530813,KRBL LTD.,7988.26
532915,RELIGARE ENTERPRISES LTD.,7983.45
500101,ARVIND LTD.,7979.73
504614,SARDA ENERGY & MINERALS LTD.-$,7974.39
543297,Inox Wind Energy Ltd,7967.96
